user_id,start_hub,start_latitude,start_longitude,end_hub,end_latitude,end_longitude,total_distance,total_cost,start_time_iso,end_time_iso
264790,,33.741,-84.44154,,33.74101333,-84.44154833,1.48,0.0,2017-09-14 11:07:00,2017-09-14 11:21:00
530129,CENTENNIAL OLYMPIC PARK,33.76042833,-84.394375,PIEDMONT PARK WEST,33.78633167,-84.377975,2.51,0.0,2017-09-14 11:07:00,2017-09-14 11:36:00
530129,CENTENNIAL OLYMPIC PARK,33.76040333,-84.394495,PIEDMONT PARK WEST,33.786335,-84.37796333,2.5,4.35,2017-09-14 11:09:00,2017-09-14 11:37:00
350126,5TH & ARGONNE,33.77558333,-84.37773667,MARTA - ARTS CENTER ,33.78941833,-84.38644833,1.53,0.0,2017-09-14 11:10:00,2017-09-14 11:23:00
530139,HOME PARK,33.782,-84.40442,MARTA - MIDTOWN  (NORTH),33.78155,-84.386225,1.09,0.0,2017-09-14 11:16:00,2017-09-14 11:38:00
530141,,33.75746,-84.36421667,ATLANTA BICYCLE COALITION - VIRTUAL HUB,33.75251,-84.35818167,3.45,-1.0,2017-09-14 11:17:00,2017-09-14 12:22:00
529030,GEORGIA TECH - CLOUGH BUILDING,33.77517833,-84.39652333,FEDERAL RESERVE BANK OF ATLANTA,33.78328167,-84.384635,1.24,0.0,2017-09-14 11:18:00,2017-09-14 11:28:00
530046,TECH PARKWAY,33.77743333,-84.40767333,,33.77439667,-84.39915167,0.7,2.0,2017-09-14 11:28:00,2017-09-14 11:34:00
529845,GSU ARTS & HUMANITIES BLDG,33.75409333,-84.38641,,33.755325,-84.38220667,5.79,2.75,2017-09-14 11:30:00,2017-09-14 13:05:00
238322,HISTORIC FOURTH WARD PARK,33.770775,-84.36542,CITY HALL,33.74835333,-84.39096667,3.38,0.0,2017-09-14 11:32:00,2017-09-14 12:23:00
318794,HARDY IVY PARK,33.76283667,-84.38727333,GEORGIA TECH - CLOUGH BUILDING,33.77529333,-84.39618833,1.39,0.0,2017-09-14 11:39:00,2017-09-14 11:47:00
